"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,445,24,685.72496187075,284.662771428591,250.307692307692,196.769230769231,0.2246,0.3154,"0.0164"
1,445,28,494.5092767009,246.279850249907,230.358024691358,204.702222222222,0.0075,0.0115,"3e-04"
1,446,12,92974.516121011,46325.4388275028,48725.0234375,50288.6944444444,0.9865,0.9613,"0.9631"
1,446,16,203232.162406059,29020.272270655,21523.6625,26962.4652777778,0.4214,0.6733,"0.459"
1,446,24,14618.4769969972,18365.5558267645,15127.4114583333,18376.2962962963,0.5965,0.5891,"0.21"
1,447,12,7195.96066485893,1437.28,1628.82,1432.0608,0.9225,0.7705,"0.9405"
1,447,16,4746.56924444112,1036.07715403302,1113.8244047619,1043.20761904762,0.0119,0.1328,"0.1287"
1,447,20,1216.46077522137,1091.42667429144,1105.97058823529,1022.09176470588,0.6522,0.4074,"0.8349"
1,447,24,1449.44006812192,1051.98191618831,906.803418803419,996.021538461538,0.3582,0.1971,"0.452"
1,447,28,1702.19153335511,1280.49018482871,1123.56790123457,1184.18666666667,0.063,0.0126,"0.2538"
1,448,16,1428.09123002046,1833.95238095238,1368.17989417989,1685.86857142857,0.1618,0.0019,"0"
1,449,12,829771.720364497,153673.662466726,172596.685990338,130126.707729469,0.891,0.9094,"0"
1,449,16,776696.573359714,78353.521359734,58703,65229.514619883,0.3795,0.0024,"0.2549"
1,449,24,5485.53835500035,5913.66506110486,5476.21212121212,6009.87878787879,0.0034,0.0121,"0.0035"
1,449,28,4789.03149302712,6944.33814624313,6618.01587301587,7963.80952380952,0.1147,0,"0.0142"
1,450,12,3521.84507450133,4676.74534912,6647.63111111111,6076.2368,0.9981,0.9489,"0.9735"
1,450,16,6287.58071590997,2060.80120655992,2778.8869047619,2079.91238095238,0,0,"0"
1,450,20,817.350742988861,1002.65773295231,1386.81699346405,1218.94823529412,0.0016,0,"0.0027"
1,450,24,602.139828905552,382.602110242511,515.504273504273,439.233846153846,0,0,"0"
1,450,28,582.616683414484,294.2802630545,336.691358024691,348.995555555556,0,0,"0"
1,451,12,1327.04287436772,340.250235063813,342.204444444444,272.2128,0.9825,0.9165,"0.8339"
1,451,16,324.962421603478,145.344374291553,115.508928571429,127.88380952381,2e-04,0,"0"
1,451,28,71.9718290822455,43.957325453517,50.2291666666667,45.3244444444444,0,0,"0"
1,452,12,1163.14619463374,682.425824412471,681.697777777778,832.568,0.9963,0.5565,"0.0457"
1,452,16,1962.20138593018,887.171220742505,1079.7037037037,921.782857142857,0.8853,0.9177,"0.9116"
1,452,20,314.498796903313,136.759920256238,133.569852941176,134.411764705882,0.3398,0.0107,"0"
1,452,24,264.475045669715,125.881079011308,117.144230769231,100.175384615385,0.0907,0.0012,"0"
1,453,12,6560.01896513626,2804.76786299813,2536.41777777778,2479.6112,0.9917,0.9927,"0.9871"
1,453,16,9402.75358233732,2042.76306179305,2139.46031746032,1930.87238095238,0.001,0.0027,"0"
1,453,20,1461.99129087834,951.060993620226,951.869281045751,674.825882352942,0.13,0.2155,"0.1759"
1,453,24,298.849949990602,347.098230361659,434.572649572649,365.369230769231,0.4173,0.2791,"0.1929"
1,453,28,163.672428288013,164.784774265465,188.345679012346,167.8,0.0076,0.011,"0.0489"
1,454,12,142.447299174282,138.008744930342,136.39,146.4688,0.9814,0.9612,"0.9098"
1,454,20,51.371169582105,28.2815033040165,30.5588235294118,24.3270588235294,0.0582,0.0558,"0.1554"
1,454,24,38.0160071546621,29.0050036973405,28.6490384615385,23.9384615384615,0.5332,0.1712,"0.1537"
1,454,28,51.6800916388638,38.3321825428354,31.25,26.8222222222222,0.0085,0.1161,"0.0164"
1,455,12,404.851812229628,383.697258279022,339.965,368.5552,0.9511,0.8334,"0"
1,455,16,394.127931296008,338.57777123392,287.206349206349,296.217142857143,0.0456,0.0815,"0.0082"
1,455,20,161.306399624078,180.369720127996,126.614379084967,120.865882352941,0.1343,0.0847,"0.1172"
1,455,24,122.266769946598,74.5335945913461,81.4957264957265,76.4923076923077,0.06,0.1196,"0.4612"
1,455,28,131.805975202946,54.4285710582734,55.6049382716049,60.4666666666667,1e-04,0.0044,"0"
1,456,16,4363.25798386646,1245.24644217053,813.781052631579,813.781052631579,0.1598,0.164,"No need to compare!"
